,currency,avg market cap,observations,std,mean,spread std,spread mean,outlier (3std),profit,avg profit per day,corr to BTC,corr to S&P500,last timestamp
0,AAVE,286532.6020430606,281,0.6000264415858058,1.015336055123451,0.13511972310624215,0.14463951597582914,13,0.7932164193486222,0.002822834232557374,0.864716743098298,0.7017726054368435,2021-07-22
1,ADA,331706576.29313034,1000,0.40751483589638493,0.24399109384339493,0.06497965147530449,0.02781551532746987,48,0.9589531209973529,0.0009589531209973529,0.8798534560719286,0.8200820445808992,2021-07-22
2,AION,19154006.269346148,520,0.8933508958417515,1.2999963646939077,0.2691362795211698,0.20284280936454854,27,-1.2533081285444234,-0.0024102079395085067,0.7617528757526822,0.5753790617717174,2021-07-22
3,ALGO,23364468.454078723,762,0.530712768732865,0.6970139671258313,0.12718290115990794,0.09164780460609127,23,-3.44871461957933,-0.0045258722041723485,0.8194930712178625,0.6755118869903316,2021-07-22
4,ANT,1066832.735552326,344,0.7378172815041476,1.5632574267252222,0.6520192563825341,0.25972120316315905,2,-12.095320835238532,-0.03516081638150736,0.658343208173922,0.3693561803506562,2021-07-22
5,ARDR,10661577.184792627,434,0.850728632718972,0.9956852171593061,0.23592114270115594,0.1590418441728285,18,0.6801555838132995,0.0015671787645467731,0.8638697629196201,0.7157546477384609,2021-07-22
6,ATM,634103.7112243903,205,0.6006170109243271,0.8752636332593124,0.3867942041878382,0.20761631889370022,10,-1.963880374451164,-0.009579904265615434,0.037578760720232626,0.3182627541086278,2021-07-22
7,ATOM,2386268.29282598,816,0.5763521806001383,0.6671299103833979,0.1143582452534885,0.0815069130936071,38,0.5526918671248567,0.000677318464613795,0.9420564766834036,0.791346060554356,2021-07-22
8,AVAX,2157541.68524342,304,1.1865888628077184,1.5359512691570891,0.31191478775398485,0.2502329413692277,13,0.3436781609195402,0.001130520266182698,0.8975221613084976,0.569384895251605,2021-07-22
9,BAND,1995613.9357922848,674,1.0784141765817776,1.0807737243265265,0.22040990477825034,0.16824771629720117,35,0.547843137254902,0.0008128236457787863,0.8486354610618205,0.7545000812986481,2021-07-22
10,BAT,19036373.864151396,872,0.5697211872990176,0.7079561621099101,0.10922053906041641,0.07868773596950415,41,0.6290258449304174,0.0007213599139110291,0.8598204155255442,0.698367218155273,2021-07-22
11,BCC,25963.652038409695,371,1.3095839826811093,2.3805980379376916,0.5080794542077761,0.3365732811830765,12,-2.209271227991977,-0.005954908970328779,,,2021-07-22
12,BCH,216239.27550102805,603,0.5264617654880317,0.8995151382715603,0.13584591989427094,0.0944760827675162,25,0.4922230476367351,0.0008162902945882837,0.8201638427714739,0.7212729657148289,2021-07-22
13,BLZ,32930300.41994219,346,1.0266061925348968,1.4498145858528737,0.2663355377649987,0.2563951671653968,16,-0.22028353326063255,-0.0006366576105798628,0.8197403496826734,0.5562828080449762,2021-07-22
14,BNB,2850705.8175407993,1000,0.4663896249055111,0.25889124015412446,0.06975788429278373,0.028721765608483614,51,0.9800705834214206,0.0009800705834214205,0.8544373857560352,0.7559998406308625,2021-07-22
15,BNT,1404160.8306566612,533,0.8521106655172246,0.8381022913425766,0.11596039479682946,0.09413254389857775,22,0.6601705666760642,0.0012385939337261993,0.9208552146643979,0.7337923159594579,2021-07-22
16,BTC,61471.95078811696,1000,0.48120772366733866,0.49960324951290364,0.04678676117245246,0.03296926193617503,53,0.8031987421802355,0.0008031987421802354,1.0,0.8591537321946281,2021-07-22
17,BTG,102257.82525510204,98,0.7120212494318322,1.7977260032474052,0.32399774466071357,0.32205472913633837,4,-2.6361198863787196,-0.026899182514068566,0.9316543946231837,-0.6431512917889033,2021-07-22
18,BTS,52333583.96435271,533,0.8012037835959742,1.082163403231992,0.21723831990374562,0.16022047619541202,26,-1.44585635359116,-0.0027126760855368855,0.8382463708973026,0.6561759899428863,2021-07-22
19,BTT,19466601710.332447,904,0.8068251170316798,0.5368466247665852,0.18533958067840225,0.07439234873144665,38,0.7273584016586562,0.0008046000018347967,0.7442742824500941,0.6041847173673348,2021-07-22
20,BUSD,333623570.65059555,672,9.16948969959706,1.353381994047617,11.807831501319914,0.4573462797619048,1,-305.0962,-0.4540122023809524,-0.07879225432554197,0.0643669552998499,2021-07-22
21,CAKE,6821912.732876628,154,0.6363782720478411,1.4487537182786308,0.1849189000860746,0.23324906071140128,6,-1.2987253765932794,-0.008433281666190126,0.3864492617374155,0.2587972997315678,2021-07-22
22,COMP,56356.13595753181,393,0.47293711602237193,0.7655857648931643,0.09504467446550613,0.1017723273430846,12,0.3658141879344192,0.0009308249056855451,0.8407249628039042,0.73176555925508,2021-07-22
23,CTXC,8310253.097126433,609,0.7341616664562097,1.108625158234392,0.24658178321474508,0.17179752934255876,24,-0.35337124289195776,-0.0005802483462922131,0.8401806141442493,0.6579287977502494,2021-07-22
24,CVC,23380047.584913816,696,0.8450952889521026,0.6464254440775952,0.18116392437617226,0.10094830936196972,32,0.7551827259364388,0.001085032652207527,0.9591810977786522,0.7731080459058758,2021-07-22
25,DAI,1716951.7114285713,21,0.007979172466358537,1.000687893081761,0.02695422810514316,0.018736897274633093,1,-0.12008647798742134,-0.00571840371368673,,-0.41246043807461874,2021-07-22
26,DASH,116726.04893974053,848,0.48525383009392975,0.840246104690926,0.10991224847241715,0.08265496762164277,37,0.30868814729574223,0.00036401904162233756,0.8136975468438616,0.5983781733522249,2021-07-22
27,DATA,50736398.029025465,472,0.528927041882789,0.9107798374260929,0.1879395266025168,0.14558982099427367,18,-0.017424862589170864,-3.691708175671793e-05,0.8126839573369046,0.6342169096808418,2021-07-22
28,DCR,19155.63768854747,358,0.6263176114357404,0.7694756890879222,0.08355212615448243,0.08296413897084887,13,0.8031277926720285,0.0022433737225475655,0.9357251280840654,0.8528911253514831,2021-07-22
29,DENT,3629095523.441092,696,1.7003480887744995,0.807888945391389,0.42327637787119937,0.16047395055567473,37,0.6705001925934078,0.0009633623456801835,0.7673984337716987,0.5848803515665109,2021-07-22
30,DGB,120552287.92744577,368,0.9016214021185045,1.2936388508891934,0.2388149269486076,0.19494661868791988,18,0.38659370725034203,0.0010505263783976686,0.7989728834594785,0.6659720264648308,2021-07-22
31,DNT,31827721.76784315,255,0.8925224767674219,1.5933516694762377,0.29847352170379426,0.2799539334853806,10,-1.7782805429864252,-0.0069736491881820595,0.9519821889967683,0.4508231355851148,2021-07-22
32,DOGE,2509965538.4583445,749,0.6056000517756349,0.2659565585127771,0.16252000615427892,0.050741081571613236,30,1.0074035179837226,0.0013449980213400836,0.6387788279747809,0.6862639613147848,2021-07-22
33,DOT,14870606.199663714,339,1.0908190510388953,1.4384568141975276,0.20016518839645558,0.1811849641639756,15,0.6510855476344783,0.0019206063352049509,0.9501358765822403,0.6941032715544111,2021-07-22
34,EGLD,493408.69069721346,323,0.8458488730617196,1.0086063085258095,0.17236918884668564,0.1394335151681709,11,0.558523173605656,0.001729173912091814,0.9368058808198902,0.7232970669884289,2021-07-22
35,ENJ,22748273.998295065,827,0.6441001843141998,0.40118967719002835,0.12233771769222426,0.05964754775396927,46,0.8668609416264457,0.001048199445739354,0.8739994136424617,0.7280111468504837,2021-07-22
36,EOS,16824796.304350007,1000,0.4388436260107032,1.072807262968566,0.1307001243928003,0.10145536300568131,31,-0.5518314443143861,-0.0005518314443143861,0.42965164179378024,0.30347759262749385,2021-07-22
37,ETC,2468311.6900699968,1000,0.3995943772373235,0.2729026429869944,0.1154712536847623,0.03622672120449352,25,0.8026686244348109,0.0008026686244348109,0.5974893521100988,0.6426924591278244,2021-07-22
38,ETH,738833.1449634196,1000,0.2799566686011479,0.218317759457585,0.03450640739868427,0.019200841359118606,43,0.9693474073503351,0.0009693474073503351,0.9606862250180531,0.8569090482565339,2021-07-22
39,FIL,1816681.7792612105,281,1.025976597473796,1.3630838741944786,0.5696423761210567,0.19451430989708557,1,-8.281297297297296,-0.02947080888717899,0.7046102187311647,0.568634600495223,2021-07-22
40,FTT,421581.40450774523,581,0.5755020544318524,0.4684160101100435,0.06960953557555878,0.04372063576769962,22,0.9317859170925611,0.0016037623357875407,0.9156915859250004,0.7725506797667356,2021-07-22
41,FUN,124063745.97557472,696,0.8750100695869459,0.7296657076114398,0.1970877965301605,0.10444905959751688,30,0.7324836328179412,0.0010524190126694557,0.9516711479317184,0.7538611388364979,2021-07-22
42,GRT,115172445.24522938,218,1.0923330797720459,1.9712830545062061,0.2682939305750056,0.3149562179984994,9,0.742109038737446,0.003404169902465349,0.8967591118199959,-0.01015238956112479,2021-07-22
43,GTC,1574107.0048837212,43,0.33719855201358634,1.2397319668900277,0.38075235085697734,0.2594402837997634,2,-3.040677966101695,-0.07071344107213244,0.8295604062927251,-0.4182604541852638,2021-07-22
44,GTO,92673494.66387795,753,0.7178876746741238,0.6441228435923784,0.22975419298188085,0.11639732053003693,32,-0.3171158557927898,-0.0004211365946783397,0.7871406021418449,0.652950770432879,2021-07-22
